weir,year,stat_week,date,Species,count_type,maturity,count,comments
Chilkoot Lake,1976,23,5/30/1976,Sockeye,Counted live,Adult,8,
Chilkoot Lake,1976,23,5/31/1976,Sockeye,Counted live,Adult,13,
Chilkoot Lake,1976,23,6/1/1976,Sockeye,Counted live,Adult,11,
Chilkoot Lake,1976,23,6/2/1976,Sockeye,Counted live,Adult,0,
Chilkoot Lake,1976,23,6/3/1976,Sockeye,Counted live,Adult,0,
Chilkoot Lake,1976,23,6/4/1976,Sockeye,Counted live,Adult,0,
Chilkoot Lake,1976,23,6/5/1976,Sockeye,Counted live,Adult,91,
Chilkoot Lake,1976,24,6/6/1976,Sockeye,Counted live,Adult,382,
Chilkoot Lake,1976,24,6/7/1976,Sockeye,Counted live,Adult,9,
Chilkoot Lake,1976,24,6/8/1976,Sockeye,Counted live,Adult,173,
Chilkoot Lake,1976,24,6/9/1976,Sockeye,Counted live,Adult,26,
Chilkoot Lake,1976,24,6/10/1976,Sockeye,Counted live,Adult,32,
Chilkoot Lake,1976,24,6/11/1976,Sockeye,Counted live,Adult,1,
Chilkoot Lake,1976,24,6/12/1976,Sockeye,Counted live,Adult,0,
Chilkoot Lake,1976,25,6/13/1976,Sockeye,Counted live,Adult,0,
Chilkoot Lake,1976,25,6/14/1976,Sockeye,Counted live,Adult,97,
Chilkoot Lake,1976,25,6/15/1976,Sockeye,Counted live,Adult,0,
Chilkoot Lake,1976,25,6/16/1976,Sockeye,Counted live,Adult,22,
Chilkoot Lake,1976,25,6/17/1976,Sockeye,Counted live,Adult,0,
Chilkoot Lake,1976,25,6/18/1976,Sockeye,Counted live,Adult,121,
Chilkoot Lake,1976,25,6/19/1976,Sockeye,Counted live,Adult,1,
Chilkoot Lake,1976,26,6/20/1976,Sockeye,Counted live,Adult,0,
Chilkoot Lake,1976,26,6/21/1976,Sockeye,Counted live,Adult,248,
Chilkoot Lake,1976,26,6/22/1976,Sockeye,Counted live,Adult,488,
Chilkoot Lake,1976,26,6/23/1976,Sockeye,Counted live,Adult,2044,
Chilkoot Lake,1976,26,6/24/1976,Sockeye,Counted live,Adult,784,
Chilkoot Lake,1976,26,6/25/1976,Sockeye,Counted live,Adult,0,
Chilkoot Lake,1976,26,6/26/1976,Sockeye,Counted live,Adult,15,
Chilkoot Lake,1976,27,6/27/1976,Sockeye,Counted live,Adult,3,
Chilkoot Lake,1976,27,6/28/1976,Sockeye,Counted live,Adult,54,
Chilkoot Lake,1976,27,6/29/1976,Sockeye,Counted live,Adult,444,
Chilkoot Lake,1976,27,6/30/1976,Sockeye,Counted live,Adult,224,
Chilkoot Lake,1976,27,7/1/1976,Sockeye,Counted live,Adult,0,
Chilkoot Lake,1976,27,7/2/1976,Sockeye,Counted live,Adult,0,
Chilkoot Lake,1976,27,7/3/1976,Sockeye,Counted live,Adult,10,
Chilkoot Lake,1976,28,7/4/1976,Sockeye,Counted live,Adult,22,
