date,count
7/1/1957,9960
7/2/1957,20136
7/3/1957,3042
7/4/1957,7524
7/5/1957,8848
7/6/1957,5632
7/7/1957,7552
7/8/1957,13656
7/9/1957,20826
7/10/1957,44664
7/11/1957,85639
7/12/1957,64132
7/13/1957,35985
7/14/1957,8722
7/15/1957,17179
7/16/1957,21302
7/17/1957,361
7/18/1957,3783
7/19/1957,4596
7/20/1957,3063
7/21/1957,120
7/22/1957,1169
7/23/1957,681
7/24/1957,1205
7/25/1957,801
7/26/1957,154
7/27/1957,295
7/28/1957,42
7/29/1957,42
7/30/1957,96
7/31/1957,
8/1/1957,
8/2/1957,
8/3/1957,
8/4/1957,
8/5/1957,
8/6/1957,
8/7/1957,
8/8/1957,
8/9/1957,
8/10/1957,
8/11/1957,
8/12/1957,
8/13/1957,
8/14/1957,
8/15/1957,
8/16/1957,
8/17/1957,
8/18/1957,
8/19/1957,
8/20/1957,
8/21/1957,
8/22/1957,
8/23/1957,
8/24/1957,
8/25/1957,
8/26/1957,
8/27/1957,
8/28/1957,
8/29/1957,
8/30/1957,
6/17/1958,
6/18/1958,
6/19/1958,
6/20/1958,
6/21/1958,
6/22/1958,
6/23/1958,
6/24/1958,
6/25/1958,
6/26/1958,
6/27/1958,
6/28/1958,
6/29/1958,
6/30/1958,16212
7/1/1958,3606
7/2/1958,7632
7/3/1958,7524
7/4/1958,13644
7/5/1958,30198
7/6/1958,31872
7/7/1958,27492
7/8/1958,44490
7/9/1958,18606
7/10/1958,8358
7/11/1958,12042
7/12/1958,5316
7/13/1958,1176
7/14/1958,2094
7/15/1958,408
7/16/1958,294
7/17/1958,3534
7/18/1958,3132
7/19/1958,924
7/20/1958,1308
7/21/1958,288
7/22/1958,1362
7/23/1958,1302
7/24/1958,264
7/25/1958,432
7/26/1958,570
7/27/1958,1266
7/28/1958,432
7/29/1958,30
7/30/1958,174
7/31/1958,198
8/1/1958,114
8/2/1958,60
8/3/1958,
8/4/1958,
8/5/1958,
8/6/1958,
8/7/1958,
8/8/1958,
8/9/1958,
8/10/1958,
8/11/1958,
8/12/1958,
8/13/1958,
8/14/1958,
8/15/1958,
8/16/1958,
8/17/1958,
8/18/1958,
8/19/1958,
8/20/1958,
8/21/1958,
8/22/1958,
8/23/1958,
8/24/1958,
8/25/1958,
8/26/1958,
8/27/1958,
8/28/1958,
8/29/1958,
8/30/1958,
6/17/1959,
6/18/1959,
6/19/1959,
6/20/1959,
6/21/1959,
6/22/1959,
6/23/1959,
6/24/1959,
6/25/1959,
6/26/1959,
6/27/1959,
6/28/1959,
6/29/1959,
6/30/1959,4800
7/1/1959,4506
7/2/1959,0
7/3/1959,0
7/4/1959,80
7/5/1959,20348
7/6/1959,15684
7/7/1959,98920
7/8/1959,127512
7/9/1959,90436
7/10/1959,96960
7/11/1959,88904
7/12/1959,17152
7/13/1959,2216
7/14/1959,30132
7/15/1959,58544
7/16/1959,86392
7/17/1959,51820
7/18/1959,106704
7/19/1959,21840
7/20/1959,51512
7/21/1959,25540
7/22/1959,21352
7/23/1959,8940
7/24/1959,5596
7/25/1959,1156
7/26/1959,4624
7/27/1959,2404
7/28/1959,6544
7/29/1959,1412
7/30/1959,741
7/31/1959,48
