"date","observed","estimated","low.95%CI","upper.95%CI","run_timing_curve"
"27-May",,0,0,67,0
"28-May",,0,0,36,0
"29-May",,0,0,0,0
"30-May",,0,0,25,0
"31-May",,0,0,36,0
"1-Jun",,0,0,18,0
"2-Jun",,0,0,99,0
"3-Jun",,2,0,108,0
"4-Jun",0,,,,0
"5-Jun",0,,,,0
"6-Jun",0,,,,0
"7-Jun",17,,,,0
"8-Jun",13,,,,0
"9-Jun",3,,,,0
"10-Jun",11,,,,0
"11-Jun",20,,,,0
"12-Jun",27,,,,0
"13-Jun",26,,,,0
"14-Jun",12,,,,0
"15-Jun",24,,,,0
"16-Jun",0,,,,0
"17-Jun",3,,,,0
"18-Jun",5,,,,0
"19-Jun",89,,,,0
"20-Jun",194,,,,0
"21-Jun",56,,,,0
"22-Jun",125,,,,0
"23-Jun",59,,,,0
"24-Jun",21,,,,0
"25-Jun",14,,,,0
"26-Jun",203,,,,0
"27-Jun",186,,,,0
"28-Jun",315,,,,0
"29-Jun",139,,,,1
"30-Jun",268,,,,1
"1-Jul",12,,,,2
"2-Jul",60,,,,3
"3-Jul",42,,,,5
"4-Jul",21,,,,7
"5-Jul",46,,,,11
"6-Jul",20,,,,15
"7-Jul",59,,,,20
"8-Jul",132,,,,27
"9-Jul",100,,,,36
"10-Jul",172,,,,46
"11-Jul",147,,,,58
"12-Jul",131,,,,72
"13-Jul",105,,,,87
"14-Jul",90,,,,104
"15-Jul",106,,,,123
"16-Jul",106,,,,143
"17-Jul",142,,,,164
"18-Jul",111,,,,185
"19-Jul",118,,,,207
"20-Jul",320,,,,228
"21-Jul",196,,,,250
"22-Jul",243,,,,270
"23-Jul",219,,,,289
"24-Jul",226,,,,306
"25-Jul",212,,,,321
"26-Jul",258,,,,335
"27-Jul",234,,,,346
"28-Jul",212,,,,354
"29-Jul",103,,,,361
"30-Jul",526,,,,364
"31-Jul",196,,,,366
"1-Aug",158,,,,364
"2-Aug",338,,,,361
"3-Aug",262,,,,356
"4-Aug",226,,,,348
"5-Aug",402,,,,339
"6-Aug",183,,,,329
"7-Aug",260,,,,317
"8-Aug",253,,,,304
"9-Aug",241,,,,290
"10-Aug",188,,,,276
"11-Aug",235,,,,262
"12-Aug",336,,,,247
"13-Aug",107,,,,232
"14-Aug",132,,,,217
"15-Aug",113,,,,202
"16-Aug",119,,,,188
"17-Aug",167,,,,174
"18-Aug",209,,,,161
"19-Aug",132,,,,148
"20-Aug",159,,,,136
"21-Aug",122,,,,125
"22-Aug",309,,,,114
"23-Aug",227,,,,104
"24-Aug",145,,,,94
"25-Aug",83,,,,85
"26-Aug",102,,,,77
"27-Aug",71,,,,70
"28-Aug",36,,,,63
"29-Aug",14,,,,56
"30-Aug",36,,,,50
"31-Aug",47,,,,45
"1-Sep",5,,,,40
"2-Sep",9,,,,36
"3-Sep",53,,,,32
"4-Sep",63,,,,28
"5-Sep",48,,,,25
"6-Sep",60,,,,22
"7-Sep",8,,,,20
"8-Sep",7,,,,17
"9-Sep",42,,,,15
"10-Sep",66,,,,14
"11-Sep",21,,,,12
"12-Sep",12,,,,10
"13-Sep",34,,,,9
"14-Sep",,6,0,197,8
"15-Sep",,5,0,209,7
"16-Sep",,8,0,192,6
"17-Sep",,6,0,204,5
"18-Sep",,5,0,201,5
"19-Sep",,5,0,188,4
"20-Sep",,11,0,204,4
"21-Sep",,8,0,196,3
"22-Sep",,7,0,191,3
"23-Sep",,5,0,200,2
"24-Sep",,3,0,194,2
"25-Sep",,10,0,193,2
"26-Sep",,4,0,192,2
"27-Sep",,3,0,173,1
"28-Sep",,0,0,188,1
"29-Sep",,5,0,192,1
"30-Sep",,1,0,177,1
"1-Oct",,1,0,177,1
"2-Oct",,1,0,193,1
"3-Oct",,7,0,184,1
"4-Oct",,0,0,194,0
"5-Oct",,3,0,190,0
"6-Oct",,0,0,179,0
"7-Oct",,1,0,67,0
"8-Oct",,0,0,174,0
"9-Oct",,1,0,174,0
"10-Oct",,1,0,178,0
"11-Oct",,0,0,175,0
"12-Oct",,0,0,144,0
"13-Oct",,1,0,178,0
"14-Oct",,0,0,178,0
"15-Oct",,0,0,20,0
"16-Oct",,0,0,176,0
"17-Oct",,2,0,186,0
"18-Oct",,0,0,183,0
"19-Oct",,8,0,187,0
"20-Oct",,0,0,169,0
"21-Oct",,4,0,178,0
"22-Oct",,0,0,182,0
"23-Oct",,0,0,176,0
"24-Oct",,0,0,178,0
"25-Oct",,0,0,177,0
"26-Oct",,4,0,188,0
"27-Oct",,5,0,189,0
"28-Oct",,1,0,175,0
"29-Oct",,1,0,181,0
"30-Oct",,0,0,180,0
"31-Oct",,0,0,0,0
"1-Nov",,0,0,23,0
"2-Nov",,0,0,0,0
"3-Nov",,0,0,16,0
"5-Nov",,0,0,107,0
"8-Nov",,0,0,43,0
"9-Nov",,0,0,72,0
"10-Nov",,0,0,38,0
"12-Nov",,0,0,12,0
"13-Nov",,0,0,56,0
