"date","observed","estimated","low.95%CI","upper.95%CI","run_timing_curve"
"26-Jun",2,,,,0
"27-Jun",8,,,,0
"28-Jun",20,,,,0
"29-Jun",8,,,,0
"30-Jun",50,,,,0
"1-Jul",35,,,,0
"2-Jul",46,,,,0
"3-Jul",51,,,,0
"4-Jul",49,,,,2
"5-Jul",105,,,,5
"6-Jul",164,,,,13
"7-Jul",577,,,,27
"8-Jul",150,,,,50
"9-Jul",115,,,,81
"10-Jul",217,,,,121
"11-Jul",320,,,,167
"12-Jul",657,,,,216
"13-Jul",180,,,,264
"14-Jul",421,,,,309
"15-Jul",238,,,,347
"16-Jul",251,,,,376
"17-Jul",,389,207,613,395
"18-Jul",,397,212,619,405
"19-Jul",,405,192,602,405
"20-Jul",215,,,,398
"21-Jul",171,,,,383
"22-Jul",122,,,,363
"23-Jul",217,,,,340
"24-Jul",419,,,,314
"25-Jul",195,,,,286
"26-Jul",256,,,,259
"27-Jul",260,,,,232
"28-Jul",238,,,,206
"29-Jul",105,,,,182
"30-Jul",195,,,,159
"31-Jul",213,,,,139
"1-Aug",98,,,,120
"2-Aug",110,,,,104
"3-Aug",65,,,,89
"4-Aug",103,,,,76
"5-Aug",60,,,,65
"6-Aug",49,,,,55
"7-Aug",39,,,,47
"8-Aug",51,,,,39
"9-Aug",40,,,,33
"10-Aug",39,,,,28
"11-Aug",21,,,,24
"12-Aug",25,,,,20
"13-Aug",15,,,,16
"14-Aug",20,,,,14
"15-Aug",24,,,,12
"16-Aug",12,,,,10
"17-Aug",9,,,,8
"18-Aug",9,,,,7
"19-Aug",15,,,,6
"20-Aug",5,,,,5
"21-Aug",6,,,,4
"22-Aug",4,,,,3
"23-Aug",1,,,,3
"24-Aug",1,,,,2
"25-Aug",4,,,,2
"26-Aug",2,,,,2
"27-Aug",0,,,,1
"28-Aug",0,,,,1
"29-Aug",1,,,,1
"30-Aug",0,,,,1
"31-Aug",2,,,,1
"1-Sep",1,,,,0
"2-Sep",1,,,,0
"3-Sep",1,,,,0
"4-Sep",2,,,,0
"5-Sep",1,,,,0
"6-Sep",0,,,,0
"7-Sep",0,,,,0
"8-Sep",0,,,,0
"9-Sep",0,,,,0
"10-Sep",2,,,,0
"11-Sep",0,,,,0
"12-Sep",0,,,,0
"13-Sep",0,,,,0
"14-Sep",0,,,,0
"15-Sep",0,,,,0
"16-Sep",0,,,,0
"17-Sep",1,,,,0
"18-Sep",0,,,,0
"19-Sep",0,,,,0
"20-Sep",0,,,,0
"21-Sep",0,,,,0
"22-Sep",0,,,,0
"23-Sep",0,,,,0
"24-Sep",0,,,,0
"25-Sep",0,,,,0
